id,full_name,url,forks_count,stargazers_count,watchers_count,language,open_issues_count,issues_url,issue_events_url,issue_comment_url
45717250,tensorflow/tensorflow,https://api.github.com/repos/tensorflow/tensorflow,72517,121811,121811,C++,2065,https://api.github.com/repos/tensorflow/tensorflow/issues{/number},https://api.github.com/repos/tensorflow/tensorflow/issues/events{/number},https://api.github.com/repos/tensorflow/tensorflow/issues/comments{/number}
9384267,electron/electron,https://api.github.com/repos/electron/electron,9204,70657,70657,C++,1192,https://api.github.com/repos/electron/electron/issues{/number},https://api.github.com/repos/electron/electron/issues/events{/number},https://api.github.com/repos/electron/electron/issues/comments{/number}
44838949,apple/swift,https://api.github.com/repos/apple/swift,7420,46845,46845,C++,478,https://api.github.com/repos/apple/swift/issues{/number},https://api.github.com/repos/apple/swift/issues/events{/number},https://api.github.com/repos/apple/swift/issues/comments{/number}
1181927,bitcoin/bitcoin,https://api.github.com/repos/bitcoin/bitcoin,22184,37381,37381,C++,892,https://api.github.com/repos/bitcoin/bitcoin/issues{/number},https://api.github.com/repos/bitcoin/bitcoin/issues/events{/number},https://api.github.com/repos/bitcoin/bitcoin/issues/comments{/number}
3100121,nwjs/nw.js,https://api.github.com/repos/nwjs/nw.js,3795,35095,35095,C++,735,https://api.github.com/repos/nwjs/nw.js/issues{/number},https://api.github.com/repos/nwjs/nw.js/issues/events{/number},https://api.github.com/repos/nwjs/nw.js/issues/comments{/number}
33791743,x64dbg/x64dbg,https://api.github.com/repos/x64dbg/x64dbg,936,33666,33666,C++,371,https://api.github.com/repos/x64dbg/x64dbg/issues{/number},https://api.github.com/repos/x64dbg/x64dbg/issues/events{/number},https://api.github.com/repos/x64dbg/x64dbg/issues/comments{/number}
23357588,protocolbuffers/protobuf,https://api.github.com/repos/protocolbuffers/protobuf,8907,32456,32456,C++,622,https://api.github.com/repos/protocolbuffers/protobuf/issues{/number},https://api.github.com/repos/protocolbuffers/protobuf/issues/events{/number},https://api.github.com/repos/protocolbuffers/protobuf/issues/comments{/number}
5108051,opencv/opencv,https://api.github.com/repos/opencv/opencv,23218,32352,32352,C++,1633,https://api.github.com/repos/opencv/opencv/issues{/number},https://api.github.com/repos/opencv/opencv/issues/events{/number},https://api.github.com/repos/opencv/opencv/issues/comments{/number}
12791642,BVLC/caffe,https://api.github.com/repos/BVLC/caffe,16445,27286,27286,C++,960,https://api.github.com/repos/BVLC/caffe/issues{/number},https://api.github.com/repos/BVLC/caffe/issues/events{/number},https://api.github.com/repos/BVLC/caffe/issues/comments{/number}
65600975,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,6035,25420,25420,C++,2668,https://api.github.com/repos/pytorch/pytorch/issues{/number},https://api.github.com/repos/pytorch/pytorch/issues/events{/number},https://api.github.com/repos/pytorch/pytorch/issues/comments{/number}
22887094,tesseract-ocr/tesseract,https://api.github.com/repos/tesseract-ocr/tesseract,4824,24958,24958,C++,209,https://api.github.com/repos/tesseract-ocr/tesseract/issues{/number},https://api.github.com/repos/tesseract-ocr/tesseract/issues/events{/number},https://api.github.com/repos/tesseract-ocr/tesseract/issues/comments{/number}
6452529,rethinkdb/rethinkdb,https://api.github.com/repos/rethinkdb/rethinkdb,1711,21845,21845,C++,1453,https://api.github.com/repos/rethinkdb/rethinkdb/issues{/number},https://api.github.com/repos/rethinkdb/rethinkdb/issues/events{/number},https://api.github.com/repos/rethinkdb/rethinkdb/issues/comments{/number}
