id,full_name,url,forks_count,stargazers_count,watchers_count,language,open_issues_count,issues_url,issue_events_url,issue_comment_url
571770,jgm/pandoc,https://api.github.com/repos/jgm/pandoc,1651,14641,14641,Haskell,484,https://api.github.com/repos/jgm/pandoc/issues{/number},https://api.github.com/repos/jgm/pandoc/issues/events{/number},https://api.github.com/repos/jgm/pandoc/issues/comments{/number}
6731432,koalaman/shellcheck,https://api.github.com/repos/koalaman/shellcheck,700,13839,13839,Haskell,375,https://api.github.com/repos/koalaman/shellcheck/issues{/number},https://api.github.com/repos/koalaman/shellcheck/issues/events{/number},https://api.github.com/repos/koalaman/shellcheck/issues/comments{/number}
20787122,PostgREST/postgrest,https://api.github.com/repos/PostgREST/postgrest,542,11933,11933,Haskell,101,https://api.github.com/repos/PostgREST/postgrest/issues{/number},https://api.github.com/repos/PostgREST/postgrest/issues/events{/number},https://api.github.com/repos/PostgREST/postgrest/issues/comments{/number}
13206906,purescript/purescript,https://api.github.com/repos/purescript/purescript,403,5524,5524,Haskell,243,https://api.github.com/repos/purescript/purescript/issues{/number},https://api.github.com/repos/purescript/purescript/issues/events{/number},https://api.github.com/repos/purescript/purescript/issues/comments{/number}
4072305,elm/compiler,https://api.github.com/repos/elm/compiler,401,5062,5062,Haskell,124,https://api.github.com/repos/elm/compiler/issues{/number},https://api.github.com/repos/elm/compiler/issues/events{/number},https://api.github.com/repos/elm/compiler/issues/comments{/number}
18379853,facebook/Haxl,https://api.github.com/repos/facebook/Haxl,278,3459,3459,Haskell,6,https://api.github.com/repos/facebook/Haxl/issues{/number},https://api.github.com/repos/facebook/Haxl/issues/events{/number},https://api.github.com/repos/facebook/Haxl/issues/comments{/number}
70913997,input-output-hk/cardano-sl,https://api.github.com/repos/input-output-hk/cardano-sl,543,3175,3175,Haskell,166,https://api.github.com/repos/input-output-hk/cardano-sl/issues{/number},https://api.github.com/repos/input-output-hk/cardano-sl/issues/events{/number},https://api.github.com/repos/input-output-hk/cardano-sl/issues/comments{/number}
34817922,commercialhaskell/stack,https://api.github.com/repos/commercialhaskell/stack,668,3008,3008,Haskell,833,https://api.github.com/repos/commercialhaskell/stack/issues{/number},https://api.github.com/repos/commercialhaskell/stack/issues/events{/number},https://api.github.com/repos/commercialhaskell/stack/issues/comments{/number}
76672223,luna/luna,https://api.github.com/repos/luna/luna,74,2778,2778,Haskell,87,https://api.github.com/repos/luna/luna/issues{/number},https://api.github.com/repos/luna/luna/issues/events{/number},https://api.github.com/repos/luna/luna/issues/comments{/number}
2386778,idris-lang/Idris-dev,https://api.github.com/repos/idris-lang/Idris-dev,611,2759,2759,Haskell,620,https://api.github.com/repos/idris-lang/Idris-dev/issues{/number},https://api.github.com/repos/idris-lang/Idris-dev/issues/events{/number},https://api.github.com/repos/idris-lang/Idris-dev/issues/comments{/number}
