id,full_name,url,forks_count,stargazers_count,watchers_count,language,open_issues_count,issues_url,issue_events_url,issue_comment_url
8514,rails/rails,https://api.github.com/repos/rails/rails,17095,42379,42379,Ruby,1125,https://api.github.com/repos/rails/rails/issues{/number},https://api.github.com/repos/rails/rails/issues/events{/number},https://api.github.com/repos/rails/rails/issues/comments{/number}
65252,jekyll/jekyll,https://api.github.com/repos/jekyll/jekyll,8071,37023,37023,Ruby,155,https://api.github.com/repos/jekyll/jekyll/issues{/number},https://api.github.com/repos/jekyll/jekyll/issues/events{/number},https://api.github.com/repos/jekyll/jekyll/issues/comments{/number}
7569578,discourse/discourse,https://api.github.com/repos/discourse/discourse,6349,27619,27619,Ruby,26,https://api.github.com/repos/discourse/discourse/issues{/number},https://api.github.com/repos/discourse/discourse/issues/events{/number},https://api.github.com/repos/discourse/discourse/issues/comments{/number}
27442967,fastlane/fastlane,https://api.github.com/repos/fastlane/fastlane,3758,24749,24749,Ruby,231,https://api.github.com/repos/fastlane/fastlane/issues{/number},https://api.github.com/repos/fastlane/fastlane/issues/events{/number},https://api.github.com/repos/fastlane/fastlane/issues/comments{/number}
21600440,bayandin/awesome-awesomeness,https://api.github.com/repos/bayandin/awesome-awesomeness,2990,23795,23795,Ruby,6,https://api.github.com/repos/bayandin/awesome-awesomeness/issues{/number},https://api.github.com/repos/bayandin/awesome-awesomeness/issues/events{/number},https://api.github.com/repos/bayandin/awesome-awesomeness/issues/comments{/number}
2500088,gitlabhq/gitlabhq,https://api.github.com/repos/gitlabhq/gitlabhq,5526,21613,21613,Ruby,30,https://api.github.com/repos/gitlabhq/gitlabhq/issues{/number},https://api.github.com/repos/gitlabhq/gitlabhq/issues/events{/number},https://api.github.com/repos/gitlabhq/gitlabhq/issues/comments{/number}
8681349,huginn/huginn,https://api.github.com/repos/huginn/huginn,2250,20701,20701,Ruby,352,https://api.github.com/repos/huginn/huginn/issues{/number},https://api.github.com/repos/huginn/huginn/issues/events{/number},https://api.github.com/repos/huginn/huginn/issues/comments{/number}
13840241,freeCodeCamp/devdocs,https://api.github.com/repos/freeCodeCamp/devdocs,1292,20044,20044,Ruby,104,https://api.github.com/repos/freeCodeCamp/devdocs/issues{/number},https://api.github.com/repos/freeCodeCamp/devdocs/issues/events{/number},https://api.github.com/repos/freeCodeCamp/devdocs/issues/comments{/number}
308770,plataformatec/devise,https://api.github.com/repos/plataformatec/devise,4620,19633,19633,Ruby,29,https://api.github.com/repos/plataformatec/devise/issues{/number},https://api.github.com/repos/plataformatec/devise/issues/events{/number},https://api.github.com/repos/plataformatec/devise/issues/comments{/number}
481872,hashicorp/vagrant,https://api.github.com/repos/hashicorp/vagrant,3658,18039,18039,Ruby,392,https://api.github.com/repos/hashicorp/vagrant/issues{/number},https://api.github.com/repos/hashicorp/vagrant/issues/events{/number},https://api.github.com/repos/hashicorp/vagrant/issues/comments{/number}
52281283,tootsuite/mastodon,https://api.github.com/repos/tootsuite/mastodon,2982,16973,16973,Ruby,1129,https://api.github.com/repos/tootsuite/mastodon/issues{/number},https://api.github.com/repos/tootsuite/mastodon/issues/events{/number},https://api.github.com/repos/tootsuite/mastodon/issues/comments{/number}
53238813,Homebrew/brew,https://api.github.com/repos/Homebrew/brew,3681,16570,16570,Ruby,31,https://api.github.com/repos/Homebrew/brew/issues{/number},https://api.github.com/repos/Homebrew/brew/issues/events{/number},https://api.github.com/repos/Homebrew/brew/issues/comments{/number}
2293158,rapid7/metasploit-framework,https://api.github.com/repos/rapid7/metasploit-framework,7834,15457,15457,Ruby,635,https://api.github.com/repos/rapid7/metasploit-framework/issues{/number},https://api.github.com/repos/rapid7/metasploit-framework/issues/events{/number},https://api.github.com/repos/rapid7/metasploit-framework/issues/comments{/number}
538746,ruby/ruby,https://api.github.com/repos/ruby/ruby,4109,15416,15416,Ruby,180,https://api.github.com/repos/ruby/ruby/issues{/number},https://api.github.com/repos/ruby/ruby/issues/events{/number},https://api.github.com/repos/ruby/ruby/issues/comments{/number}
37382858,kilimchoi/engineering-blogs,https://api.github.com/repos/kilimchoi/engineering-blogs,1711,14933,14933,Ruby,18,https://api.github.com/repos/kilimchoi/engineering-blogs/issues{/number},https://api.github.com/repos/kilimchoi/engineering-blogs/issues/events{/number},https://api.github.com/repos/kilimchoi/engineering-blogs/issues/comments{/number}
3623050,Homebrew/homebrew-cask,https://api.github.com/repos/Homebrew/homebrew-cask,7024,14887,14887,Ruby,42,https://api.github.com/repos/Homebrew/homebrew-cask/issues{/number},https://api.github.com/repos/Homebrew/homebrew-cask/issues/events{/number},https://api.github.com/repos/Homebrew/homebrew-cask/issues/comments{/number}
2336578,twbs/bootstrap-sass,https://api.github.com/repos/twbs/bootstrap-sass,3503,12743,12743,Ruby,1,https://api.github.com/repos/twbs/bootstrap-sass/issues{/number},https://api.github.com/repos/twbs/bootstrap-sass/issues/events{/number},https://api.github.com/repos/twbs/bootstrap-sass/issues/comments{/number}
